"","time","number_of_objects"
"314","07/01/2022 21:00",0
"315","07/01/2022 22:00",0
"316","07/01/2022 23:00",4
"317","07/02/2022 00:00",0
"318","07/02/2022 01:00",0
"319","07/02/2022 02:00",0
"320","07/02/2022 03:00",0
"321","07/02/2022 04:00",0
"322","07/02/2022 05:00",0
"323","07/02/2022 06:00",0
"324","07/02/2022 07:00",0
"325","07/02/2022 08:00",0
"326","07/02/2022 09:00",0
"327","07/02/2022 10:00",0
"328","07/02/2022 11:00",0
"329","07/02/2022 12:00",0
"330","07/02/2022 13:00",0
"331","07/02/2022 14:00",0
"332","07/02/2022 15:00",0
"333","07/02/2022 16:00",0
"334","07/02/2022 17:00",0
"335","07/02/2022 18:00",0
"336","07/02/2022 19:00",0
"337","07/02/2022 20:00",0
"338","07/02/2022 21:00",0
"339","07/02/2022 22:00",1
"340","07/02/2022 23:00",0
"341","07/03/2022 00:00",0
"342","07/03/2022 01:00",3
"343","07/03/2022 02:00",8
"344","07/03/2022 03:00",0
"345","07/03/2022 04:00",15
"346","07/03/2022 05:00",2
"347","07/03/2022 06:00",0
"348","07/03/2022 07:00",0
"349","07/03/2022 08:00",0
"350","07/03/2022 09:00",0
"351","07/03/2022 10:00",0
"352","07/03/2022 11:00",0
"353","07/03/2022 12:00",0
"354","07/03/2022 13:00",0
"355","07/03/2022 14:00",0
"356","07/03/2022 15:00",0
"357","07/03/2022 16:00",0
"358","07/03/2022 17:00",0
"359","07/03/2022 18:00",0
"360","07/03/2022 19:00",0
"361","07/03/2022 20:00",0
"362","07/03/2022 21:00",0
"363","07/03/2022 22:00",0
"364","07/03/2022 23:00",0
"365","07/04/2022 00:00",0
"366","07/04/2022 01:00",0
"367","07/04/2022 02:00",0
"368","07/04/2022 03:00",0
"369","07/04/2022 04:00",0
"370","07/04/2022 05:00",0
"371","07/04/2022 06:00",0
"372","07/04/2022 07:00",0
"373","07/04/2022 08:00",0
"374","07/04/2022 09:00",0
"375","07/04/2022 10:00",0
"376","07/04/2022 11:00",0
"377","07/04/2022 12:00",0
"378","07/04/2022 13:00",0
"379","07/04/2022 14:00",0
"380","07/04/2022 15:00",0
"381","07/04/2022 16:00",0
"382","07/04/2022 17:00",0
"383","07/04/2022 18:00",0
"384","07/04/2022 19:00",0
"385","07/04/2022 20:00",0
"386","07/04/2022 21:00",0
"387","07/04/2022 22:00",0
"388","07/04/2022 23:00",0
"389","07/05/2022 00:00",0
"390","07/05/2022 01:00",0
"391","07/05/2022 02:00",8
"392","07/05/2022 03:00",0
"393","07/05/2022 04:00",0
"394","07/05/2022 05:00",0
"395","07/05/2022 06:00",0
"396","07/05/2022 07:00",0
"397","07/05/2022 08:00",0
"398","07/05/2022 09:00",0
"399","07/05/2022 10:00",0
"400","07/05/2022 11:00",0
"401","07/05/2022 12:00",0
"402","07/05/2022 13:00",0
"403","07/05/2022 14:00",0
"404","07/05/2022 15:00",0
"405","07/05/2022 16:00",0
"406","07/05/2022 17:00",0
"407","07/05/2022 18:00",0
"408","07/05/2022 19:00",0
"409","07/05/2022 20:00",0
"410","07/05/2022 21:00",7
"411","07/05/2022 22:00",0
"412","07/05/2022 23:00",0
"413","07/06/2022 00:00",0
"414","07/06/2022 01:00",0
"415","07/06/2022 02:00",0
"416","07/06/2022 03:00",0
"417","07/06/2022 04:00",0
"418","07/06/2022 05:00",0
"419","07/06/2022 06:00",0
"420","07/06/2022 07:00",0
"421","07/06/2022 08:00",0
"422","07/06/2022 09:00",0
"423","07/06/2022 10:00",0
"424","07/06/2022 11:00",0
"425","07/06/2022 12:00",0
"426","07/06/2022 13:00",7
"427","07/06/2022 14:00",0
"428","07/06/2022 15:00",0
"429","07/06/2022 16:00",26
"430","07/06/2022 17:00",191
"431","07/06/2022 18:00",28
"432","07/06/2022 19:00",0
"433","07/06/2022 20:00",0
"434","07/06/2022 21:00",8
"435","07/06/2022 22:00",0
"436","07/06/2022 23:00",0
"437","07/07/2022 00:00",0
"438","07/07/2022 01:00",0
"439","07/07/2022 02:00",0
"440","07/07/2022 03:00",0
"441","07/07/2022 04:00",0
"442","07/07/2022 05:00",0
"443","07/07/2022 06:00",0
"444","07/07/2022 07:00",16
"445","07/07/2022 08:00",0
"446","07/07/2022 09:00",0
"447","07/07/2022 10:00",0
"448","07/07/2022 11:00",0
"449","07/07/2022 12:00",0
"450","07/07/2022 13:00",0
"451","07/07/2022 14:00",0
"452","07/07/2022 15:00",0
"453","07/07/2022 16:00",0
"454","07/07/2022 17:00",0
"455","07/07/2022 18:00",211
"456","07/07/2022 19:00",0
"457","07/07/2022 20:00",0
"458","07/07/2022 21:00",0
"459","07/07/2022 22:00",0
"460","07/07/2022 23:00",45
"461","07/08/2022 00:00",0
"462","07/08/2022 01:00",0
"463","07/08/2022 02:00",0
"464","07/08/2022 03:00",15
"465","07/08/2022 04:00",0
"466","07/08/2022 05:00",0
"467","07/08/2022 06:00",0
"468","07/08/2022 07:00",0
"469","07/08/2022 08:00",0
"470","07/08/2022 09:00",0
"471","07/08/2022 10:00",0
"472","07/08/2022 11:00",0
"473","07/08/2022 12:00",0
"474","07/08/2022 13:00",0
"475","07/08/2022 14:00",0
"476","07/08/2022 15:00",0
"477","07/08/2022 16:00",0
"478","07/08/2022 17:00",0
"479","07/08/2022 18:00",0
"480","07/08/2022 19:00",0
"481","07/08/2022 20:00",0
"482","07/08/2022 21:00",0
"483","07/08/2022 22:00",0
"484","07/08/2022 23:00",0
"485","07/09/2022 00:00",0
"486","07/09/2022 01:00",0
"487","07/09/2022 02:00",0
"488","07/09/2022 03:00",0
"489","07/09/2022 04:00",0
"490","07/09/2022 05:00",0
"491","07/09/2022 06:00",0
"492","07/09/2022 07:00",0
"493","07/09/2022 08:00",0
"494","07/09/2022 09:00",0
"495","07/09/2022 10:00",0
"496","07/09/2022 11:00",0
"497","07/09/2022 12:00",0
"498","07/09/2022 13:00",0
"499","07/09/2022 14:00",0
"500","07/09/2022 15:00",0
"501","07/09/2022 16:00",0
"502","07/09/2022 17:00",0
"503","07/09/2022 18:00",0
"504","07/09/2022 19:00",8
"505","07/09/2022 20:00",14
"506","07/09/2022 21:00",0
"507","07/09/2022 22:00",0
"508","07/09/2022 23:00",0
"509","07/10/2022 00:00",0
"510","07/10/2022 01:00",0
"511","07/10/2022 02:00",0
